e,b,h2,cah1,cah2,diss
50000,0,9,1,0,0
50000,0.25,9,0,0,1
50000,0.5,10,0,0,0
50000,0.75,10,0,0,0
50000.0,0.0,7,2,1,0,0
50000.0,0.25,6,1,0,3,0
50000.0,0.5,7,0,1,2,0
50000.0,0.75,8,2,0,0,0
50000.0,0.0,3,3,1,3,0
50000.0,0.25,8,2,0,0,0
50000.0,0.5,7,2,0,1,0
50000.0,0.75,7,1,2,0,0
50000.0,0.0,9,2,1,1,0
50000.0,0.25,7,2,2,2,0
50000.0,0.5,10,3,0,0,0
50000.0,0.75,9,1,2,1,0
50000.0,0.0,9,1,1,1,1
50000.0,0.25,10,1,0,2,0
50000.0,0.5,5,4,3,1,0
50000.0,0.75,8,3,2,0,0
50000.0,0.0,8,2,0,0,0
50000.0,0.25,6,3,0,1,0
50000.0,0.5,5,4,0,1,0
50000.0,0.75,8,1,0,1,0
